name,release_year,image,platforms
Wingstar,1996,https://giantbomb1.cbsistatic.com/uploads/scale_small/10/103881/2892691-wingstar%20cover%20front.jpg,['PC']
Harley-Davidson: Race Across America,1998,https://giantbomb1.cbsistatic.com/uploads/scale_small/10/103422/1477263-harley_davidson_001.jpg,"['Game Boy Color', 'PC']"
WWF No Mercy,2000,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2139909-box_wwfnm.png,['Nintendo 64']
LEGO Land,2000,https://giantbomb1.cbsistatic.com/uploads/scale_small/6/63733/1636817-5706_1.jpg,['PC']
Might and Magic IX,2002,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/17172/781168-might_and_magic_ix_box.jpg,['PC']
Metal Fighter,1989,https://giantbomb1.cbsistatic.com/uploads/scale_small/16/165930/2619163-metal%20fighter%20front.jpg,['Nintendo Entertainment System']
Fatal Fury 2,1992,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/1614/838710-fatal_fury2_ng_us.jpg,"['Game Boy', 'Genesis', 'Super Nintendo Entertainment System', 'Neo Geo', 'TurboGrafx-CD', 'Neo Geo CD', 'Arcade', 'Wii Shop', 'Sharp X68000', 'Xbox One', 'PlayStation 4', 'Nintendo Switch']"
Blanda,2004,https://giantbomb1.cbsistatic.com/uploads/scale_small/15/154673/3038272-4537082653-Scree.jpg,['PC']
Teenage Mutant Ninja Turtles: The HyperStone Heist,1992,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2389531-genesis_tmnthyperstoneheist.jpg,['Genesis']
Sky Jaguar,1984,https://giantbomb1.cbsistatic.com/uploads/scale_small/16/164924/3009928-0357285029-56709.jpg,"['MSX', 'ColecoVision', 'Arcade']"
Vexx,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/1796286-box_vexx.png,"['PlayStation 2', 'GameCube', 'Xbox']"
Global Defense,1987,https://giantbomb1.cbsistatic.com/uploads/scale_small/10/100063/1426879-obraz__3_.jpg,"['Amiga', 'Sega Master System', 'Amstrad CPC', 'Atari ST', 'Commodore 64', 'ZX Spectrum', 'Arcade']"
Fuzzy's World of Miniature Space Golf,1995,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/81005/2848393-0861113680-20766.jpg,['PC']
NBA Live 2002,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2246597-box_nbal02.png,"['PlayStation 2', 'PlayStation', 'Xbox']"
Electronica,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/3/30196/1832353-elect.jpg,['PC']
RNFF: Running Naked in a Field of Flowers,2006,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,['MSX']
Links 386 Pro,1992,https://giantbomb1.cbsistatic.com/uploads/scale_small/5/50065/1880363-945808_101473_front.jpg,"['Mac', 'PC']"
High Heat Major League Baseball 2004,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2261101-box_hhmlb04.png,"['PlayStation 2', 'Xbox', 'PC']"
